Site Name,Lattitude,Longitude,Coordinates,Camera Height (ft)
Portland Tower,45.52028,-122.74476,"45.52028,-122.74476",377
Glenada Ridge,43.9555,-124.07524,"43.9555,-124.07524",215
Smith Ridge,44.29507,-122.04087,"44.29507,-122.04087",190
Table Mountain,44.475433,-123.836677,"44.475433,-123.836677",190
Lenhart,45.350261,-122.16713,"45.350261,-122.16713",183
Dead Mountain,43.77552,-122.40588,"43.77552,-122.40588",182
Herman Peak,44.12439,-124.01284,"44.12439,-124.01284",182
Jordan Butte,45.47179,-119.81005,"45.47179,-119.81005",182
McCully Mountain,44.763325,-122.63129,"44.763325,-122.63129",180
Peterson Butte,44.505504,-122.961877,"44.505504,-122.961877",170
Applegate,42.707285,-121.718728,"42.707285,-121.718728",163
Fish Rim Peak,42.18684,-119.92506,"42.18684,-119.92506",161
Cave Junction Tower,42.15653,-123.64339,"42.15653,-123.64339",150
Crestview,44.00139,-123.10823,"44.00139,-123.10823",150
Brightwood Mtn,45.39741,-122.03987,"45.39741,-122.03987",134
Prairie Peak,44.27961,-123.5907,"44.27961,-123.5907",130
Powell Butte,44.19744,-120.97897,"44.19744,-120.97897",128
Cline Butte,44.25183,-121.303628,"44.25183,-121.303628",127
Juniper,45.7405,-120.7308,"45.7405,-120.7308",122
Buxton Mountain,45.74376,-123.13497,"45.74376,-123.13497",120
Grizzly Mtn,44.43758,-120.954128,"44.43758,-120.954128",120
Timberline Lodge,45.33302,-121.71451,"45.33302,-121.71451",120
UO Prince Lucien Campbell Hall,44.04415,-123.07834,"44.04415,-123.07834",118
Halls Ridge,44.718899,-122.218521,"44.718899,-122.218521",117
King Mountain Lookout,43.81028,-118.8688,"43.81028,-118.8688",114
Rouge Valley Manor,42.307664,-122.8390006,"42.307664,-122.8390006",110
Red Mound Mtn,42.12326,-124.30008,"42.12326,-124.30008",106
Hamaker Mountain,42.07764,-121.97322,"42.07764,-121.97322",105
McClure Mountain,48.317588,-120.114217,"48.317588,-120.114217",105
Selah Butte,46.733534,-120.42908,"46.733534,-120.42908",103
Callahan Ridge,42.905667,-122.961639,"42.905667,-122.961639",102
Buck Mtn,44.19762,-122.98698,"44.19762,-122.98698",100
Tygh Ridge,45.29928,-121.08822,"45.29928,-121.08822",100
Roslyn Ridge FTS,47.24036,-120.97596,"47.24036,-120.97596",100
Britt Water Tank,42.31406,-122.97586,"42.31406,-122.97586",95
Shaniko Tangager,45.025808,-120.837336,"45.025808,-120.837336",95
Stacker Butte,45.71162,-121.117535,"45.71162,-121.117535",82
Bear Mountain,43.84281,-122.89189,"43.84281,-122.89189",80
Bend,44.08865,-121.30751,"44.08865,-121.30751",80
Harness Mountain,43.52217,-123.10738,"43.52217,-123.10738",80
Mary's Peak,44.507353,-123.572476,"44.507353,-123.572476",80
Pine Mountain,43.81126,-120.87449,"43.81126,-120.87449",79
Cinnamon Butte,43.24096,-122.10956,"43.24096,-122.10956",78
Quail Prairie Mtn,42.2416,-124.04546,"42.2416,-124.04546",78
Cottonwood Mountain,44.16302,-117.65521,"44.16302,-117.65521",68
Mahogany Peak,43.25044,-117.23839,"43.25044,-117.23839",67
Cooper Mountain,45.45751,-122.86926,"45.45751,-122.86926",65
Green Mtn Lookout,43.38672109,-120.7249555,"43.3867210936624,-120.724955490053",65
Bosley Butte,42.21203,-124.226,"42.21203,-124.226",64
Big Lookout Mountain,44.60883,-117.27814,"44.60883,-117.27814",62
Deathball Mountain,44.1349,-122.27602,"44.1349,-122.27602",60
