id,name,operator,status,pointSource,pointSourceName,mapSource,digitizedBy,digitizedDate,siteType,cameraHeightFeet,notes,longitude,latitude
digitized-camera-1,Grizzly Mountain,EnviroVision Solutions,Operational,standing-lookouts,Grizzly Mountain,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,Ground,,,-124.365297,42.397246
digitized-camera-2,Little Grayback,EnviroVision Solutions,Operational,standing-lookouts,Little Grayback,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,2 Story cab,,,-123.493945,42.198258
digitized-camera-3,Soda Mountain,EnviroVision Solutions,Operational,standing-lookouts,Soda Mountain,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,Tower,,,-122.479027,42.064778
digitized-camera-4,Parker Mountain,EnviroVision Solutions,Operational,standing-lookouts,Parker Mountain,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,Tower,,,-122.278838,42.105306
digitized-camera-5,Chase Mountain,EnviroVision Solutions,Operational,standing-lookouts,Chase Mountain,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,Tower,,,-121.994146,42.094616
digitized-camera-6,Dutchman Peak,EnviroVision Solutions,Operational,standing-lookouts,Dutchmans Peak,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,Ground,,name mismatch,-122.890836,42.043567
digitized-camera-7,Hogback,EnviroVision Solutions,Operational,standing-lookouts,Hogback Mountain,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,Tower,,name mismatch,-121.705889,42.242878
digitized-camera-8,Yainax Butte,EnviroVision Solutions,Operational,standing-lookouts,Yainax Butte,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,Tower,,,-121.269753,42.326507
digitized-camera-9,Drake Peak,EnviroVision Solutions,Planned,standing-lookouts,Drake Peak,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,Ground,,,-120.157914,42.300507
digitized-camera-10,Table Mountain,ALERTWest,Planned,standing-lookouts,Table Mountain,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,Tower,,,-122.492871,42.197759
digitized-camera-11,Onion,EnviroVision Solutions,Operational,standing-lookouts,Onion Mountain,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,Tower,,name mismatch,-123.616118,42.454429
digitized-camera-12,Mt Ashland,EnviroVision Solutions,Operational,usfs_communications_sites,MT ASHLAND,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,,,name mismatch,-122.720254,42.081033
digitized-camera-13,Round Pass,EnviroVision Solutions,Operational,usfs_communications_sites,ROUND PASS,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,,,name mismatch,-120.507104,42.492436
digitized-camera-14,Round Top,EnviroVision Solutions,Operational,standing-lookouts,Round Top,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,Tower,,,-122.990901,42.701897
digitized-camera-15,Sexton,EnviroVision Solutions,Operational,standing-lookouts,Sexton Mountain,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,Tower,,name mismatch,-123.365467,42.600137
digitized-camera-16,Bland Mountain,EnviroVision Solutions,Operational,standing-lookouts,Bland Mountain,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,Tower,,,-123.119159,42.969097
digitized-camera-17,Edson Butte,EnviroVision Solutions,Operational,standing-lookouts,Edson Butte,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,Tower,,source point slightly off structure,-124.33431,42.872012
digitized-camera-18,Grizzly Peak,EnviroVision Solutions,Operational,usfs_communications_sites,GRIZZLY PEAK,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,,,name mismatch,-120.639485,42.252593
digitized-camera-19,Wild Frontier,ALERTWest,Operational,usfs_communications_sites,CAMP SIX,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,,,name mismatch,-123.876971,41.830285
digitized-camera-20,Slater Butter Lookout,ALERTWest,Operational,usfs_communications_sites,SLATER BUTTE,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,,,name mismatch,-123.353514,41.858009
digitized-camera-21,Latgawa Mountain,Pano AI,Operational,usfs_communications_sites,DEAD INDIAN MOUNTAIN,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,,,name mismatch,-120.829701,42.983697
digitized-camera-22,Red Butte,EnviroVision Solutions,Operational,standing-lookouts,Red Butte,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,Tower,,,-122.880818,43.165719
digitized-camera-23,Baughman,EnviroVision Solutions,Operational,standing-lookouts,Baughman Mountain,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,Tower,,name mismatch,-123.581196,43.269256
digitized-camera-24,Warner Mountain,EnviroVision Solutions,Operational,standing-lookouts,Warner Ridge,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,Tower,,name mismatch,-122.366383,43.543397
digitized-camera-25,Walker Mountain,EnviroVision Solutions,Operational,standing-lookouts,Walker Mountain,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,Tower,,,-121.716972,43.305208
digitized-camera-26,Pig Iron Mountain Lookout,ALERTWest,Planned,standing-lookouts,Pig Iron,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-10,Tower,,name mismatch,-122.379935,43.26423
