Name,County,State,Lat,Long,Type,Status,NHLR/FFLOS
Acker Rock,Douglas,OR,43.05216,-122.64641,Ground,Standing,"NHLR US 355, OR 41"
Aldrich Mountain,Grant,OR,44.37751,-119.45136,3-Story cab,Standing,"NHLR US 453, OR 56"
Antelope Mountain,Grant,OR,44.04246,-118.41924,Tower,Standing,"NHLR US 913, OR 117"
Bald (Ingram) Butte,Lake,OR,42.61439,-120.78977,Ground,Standing,"NHLR US 258, OR 29"
Bald Butte,Harney,OR,43.68311,-119.36789,Tower,Standing,"NHLR US 425, OR 50"
Bald Knob,Coos,OR,42.69356,-124.03978,Tower,Standing,"NHLR US 1572, OR 131"
Bald Mountain,Klamath,OR,43.27429,-121.35531,Tower,Standing,"NHLR US 480, OR 73"
Baughman Mountain,Douglas,OR,43.26926,-123.58121,Tower,Standing,"NHLR US 331, OR 33"
Bear Butte,Klamath,OR,43.09982,-121.41515,Ground,Standing,"NHLR US 1605, OR 133"
Big Lookout Mountain,Baker,OR,44.60888,-117.27815,2-Story cab,Standing,"NHLR US 1606, OR 134"
Big Rock,Linn,OR,44.26803,-122.45103,2-Story cab,Standing,"NHLR US 1607, OR 134"
Black Butte,Grant,OR,44.54003,-119.13866,Tower,Standing,"NHLR US 951, OR 123"
Black Butte,Jefferson,OR,44.39972,-121.63547,Tower,Standing,"NHLR US 91, OR 12"
Bland Mountain,Douglas,OR,42.96910,-123.11917,Tower,Standing,"NHLR US 481, OR 74"
Bone Point,Grant,OR,44.98546,-119.03024,Tower,Standing,"NHLR US 1600, OR 132"
Bryant Mountain,Klamath,OR,42.03380,-121.27603,Tower,Standing,"NHLR US 1608, OR 135"
Buckhorn Mountain,Wallowa,OR,45.75375,-116.82280,Ground,Standing,"NHLR US 1609, OR 136"
Bunker Hill,Coos,OR,43.35173,-124.20489,Tower,Standing,"NHLR US 473, OR 70"
Calamity Butte,Harney,OR,43.92866,-118.82537,Tower,Standing,"NHLR US 73, OR 10"
Calimus Butte,Klamath,OR,42.63156,-121.55943,Ground,Standing,"NHLR US 259, OR 30"
Carpenter Mountain,Linn,OR,44.28119,-122.14385,Ground,Standing,"NHLR US 484, OR 77"
Chase Mountain,Klamath,OR,42.09462,-121.99416,Tower,Standing,"NHLR US 485, OR 78"
Cinnamon Butte,Douglas,OR,43.24102,-122.10986,Tower,Standing,"NHLR US 486, OR 79"
Clear Lake Butte,Wasco,OR,45.15647,-121.71856,Tower,Standing,"NHLR US 11, OR 3"
Coffin Mountain,Linn,OR,44.62139,-122.04433,Ground,Standing,"NHLR US 888, OR 114"
Cougar Pass,Douglas,OR,43.59705,-123.87102,Tower,Standing,"NHLR US 952, OR 124"
Courtney Butte,Wallowa,OR,45.88024,-117.37372,3-Story cab,Standing,"NHLR US 1184, OR 128"
Desolation Butte,Grant,OR,44.85050,-118.66448,Tower,Standing,"NHLR US 1610, OR 137"
Devils Peak,Clackamas,OR,45.26415,-121.87568,Tower,Standing,"NHLR US 521, OR 102"
Dixie Butte,Grant,OR,44.58294,-118.62649,Ground,Standing,"NHLR US 657, OR 108"
